sportnik,drzava,kvota
Andre Greipel,GER,34.00
Jurgen Roelandts,BEL,34.00
Edvald Boasson Hagen,NOR,51.00
Stijn Devolder,BEL,67.00
Jens Debusschere,BEL,67.00
Jasper Stuyven,BEL,67.00
Sylvain Chavanel,FRA,101.00
Sebastien Turgot,FRA,101.00
Bjorn Leukemans,BEL,101.00
Marco Marcato,ITA,101.00
Borut Bozic,SLO,101.00
Alejandro Valverde,ESP,6.00
Joaquim Rodriguez Oliver,ESP,8.00
Vincenzo Nibali,ITA,9.00
Michal Kwiatkowski,POL,9.00
Daniel Martin,IRL,11.00
Simon Gerrans,AUS,11.00
Julian Alaphilippe,Fra,15.00
Johan Esteban Chaves Rubio,COL,15.00
Philippe Gilbert,BEL,21.00
Domenico Pozzovivo,ITA,21.00
Daniel Moreno Fernandez,ESP,21.00
Tom Dumoulin,NED,21.00
Peter Sagan,SVK,21.00
Bauke Mollema,NED,26.00
Tim Wellens,BEL,34.00
Tony Gallopin,FRA,34.00
Wilco Kelderman,NED,34.00
Romain Bardet,FRA,34.00
Carlos Betancur,COL,34.00
Nairo Quintana,COL,51.00
Thibaut Pinot,FRA,51.00
Jakob Fuglsang,DEN,51.00
Rafal Majka,POL,51.00
Simon Yates,GBR,51.00
Simon Geschke,GER,101.00
Pierre Rolland,FRA,101.00
Warren Barguil,FRA,101.00
Frank Schleck,LUX,101.00
Giovanni Visconti,ITA,101.00
Julien Simon,FRA,101.00
Marcel Kittel,GER,3.25
Andre Greipel,GER,3.50
Mark Cavendish,GBR,8.00
Peter Sagan,SVK,11.00
Nacer Bouhanni,FRA,11.00
Alexander Kristoff,NOR,15.00
John Degenkolb,GER,21.00
Elia Viviani,ITA,21.00
Arnaud Demare,FRA,21.00
Michael Matthews,AUS,21.00
Bryan Coquard,FRA,34.00
Giacomo Nizzolo,ITA,34.00
Peter Sagan,SVK,1.80
Alexander Kristoff,NOR,5.50
Andre Greipel,GER,6.50
Marcel Kittel,GER,8.00
Mark Cavendish,GBR,9.00
John Degenkolb,GER,13.00
Nacer Bouhanni,FRA,17.00
Michael Matthews,AUS,17.00
Bryan Coquard,FRA,26.00
Arnaud Demare,FRA,51.00
