sportnik,drzava,kvota
Greg Hancock,USA,8.00
Nicki Pedersen,DEN,8.50
Bartosz Zmarzlik,POL,10.00
Peter Kildemand,DEN,11.00
Niels Kristian Iversen,DEN,13.00
Jason Doyle,AUS,15.00
Maciej Janowski,POL,15.00
Piotr Pawlicki,POL,17.00
Jaroslaw Hampel,POL,17.00
Matej Zagar,SLO,19.00
Chris Holder,AUS,21.00
Andreas Jonsson,SWE,26.00
Antonio Lindback,SWE,26.00
Chris Harris,GBR,81.00
Aksel Lund Svindal,NOR,1.60
Adrien Theaux,FRA,11.00
Hannes Reichelt,AUT,13.00
Kjetil Jansrud,NOR,13.00
Peter Fill,ITA,17.00
Dominik Paris,ITA,19.00
Christof Innerhofer,ITA,23.00
Guillermo Fayed,FRA,23.00
Johan Clarey,FRA,26.00
Max Franz,AUT,26.00
Carlo Janka,SUI,26.00
Vincent Kriechmayr,AUT,26.00
Travis Ganong,USA,34.00
David Poisson,FRA,51.00
Aleksander Aamodt Kilde,NOR,67.00
Romed Baumann,AUT,81.00
Andrew Weibrecht,USA,81.00
Werner Heel,ITA,101.00
Otmar Striedinger,AUT,101.00
Steven Nyman,USA,151.00
Marc Gisin,SUI,151.00
Andreas Sander,GER,151.00
Manuel Osborne-Paradis,CAN,201.00
Benjamin Thomsen,CAN,201.00
Klaus Kr&#246;ll,AUT,251.00
Mattia Casse,ITA,251.00
Maxence Muzaton,FRA,251.00
Klemen Kosi,SLO,251.00
Aksel Lund Svindal,NOR,1.60
Hannes Reichelt,AUT,13.00
Christof Innerhofer,ITA,23.00
Adrien Theaux,FRA,11.00
Kjetil Jansrud,NOR,13.00
Carlo Janka,SUI,26.00
Peter Fill,ITA,19.00
Guillermo Fayed,FRA,23.00
Aleksander Aamodt Kilde,NOR,67.00
Vincent Kriechmayr,AUT,26.00
Dominik Paris,ITA,17.00
David Poisson,FRA,51.00
Romed Baumann,AUT,81.00
Max Franz,AUT,26.00
Travis Ganong,USA,34.00
Werner Heel,ITA,101.00
Johan Clarey,FRA,26.00
Steven Nyman,USA,151.00
Aksel Lund Svindal,NOR,1.60
Lara Gut,SUI,3.25
Eva-Maria Brem,AUT,3.50
Viktoria Rebensburg,GER,7.00
Tina Weirather,LIE,9.00
Federica Brignone,ITA,10.00
Nina Loeseth,NOR,11.00
Lindsey Vonn,USA,13.00
Tessa Worley,FRA,21.00
Michaela Kirchgasser,AUT,31.00
Frida Hansdotter,SWE,31.00
Maria Pietilae-Holmner,SWE,31.00
Nadia Fanchini,ITA,51.00
Ana Drev,SLO,51.00
Lara Gut,SUI,3.25
Eva-Maria Brem,AUT,3.50
Viktoria Rebensburg,GER,7.00
Tina Weirather,LIE,9.00
Federica Brignone,ITA,10.00
Nina Loeseth,NOR,13.00
Lindsey Vonn,USA,13.00
Tessa Worley,FRA,21.00
Michaela Kirchgasser,AUT,31.00
Frida Hansdotter,SWE,31.00
Maria Pietilae-Holmner,SWE,31.00
Ana Drev,SLO,51.00
Nadia Fanchini,ITA,51.00
